datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_12-49-14_369141,66812.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 61, 60, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",66785.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 60, 61, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",2,600.2052719593047
2021-02-01_12-59-23_251382,66812.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 61, 60, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",66785.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 60, 61, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",2,600.8366429805757
2021-02-01_13-09-32_450519,66812.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 61, 60, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",66785.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 60, 61, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",2,600.7432541847229
2021-02-01_13-19-41_615102,66812.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 61, 60, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",66785.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 60, 61, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",2,600.7535102367401
2021-02-01_13-29-50_639198,66812.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 61, 60, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",66785.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 60, 61, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",2,600.4581787586212
2021-02-01_13-39-59_475578,66812.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 61, 60, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",66785.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 60, 61, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",2,600.4255130290985
2021-02-01_13-50-08_299975,66812.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 61, 60, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",66785.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 60, 61, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",2,600.1735489368439
2021-02-01_14-00-16_868258,66812.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 61, 60, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",66785.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 60, 61, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",2,600.0958361625671
2021-02-01_14-10-25_305091,66812.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 61, 60, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",66785.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 60, 61, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",2,600.8393421173097
2021-02-01_14-20-34_610752,66812.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 61, 60, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",66785.0,"[0, 1, 21, 22, 38, 23, 28, 29, 27, 26, 13, 14, 16, 12, 11, 10, 9, 8, 20, 42, 44, 46, 45, 47, 70, 64, 62, 52, 53, 56, 57, 58, 59, 60, 61, 48, 67, 69, 78, 68, 43, 39, 37, 36, 35, 30, 31, 34, 33, 32, 25, 24, 15, 7, 6, 5, 17, 18, 4, 2, 0];[0, 79, 66, 65, 63, 71, 72, 77, 76, 75, 73, 74, 55, 54, 51, 50, 49, 40, 41, 19, 3, 0]",2,600.7687318325043
